"id","estimate_id","pass","description","price"
847,518,,"Change own oil",5.00
848,519,,"Change own oil",5.00
849,520,,"Charge air conditioner",30.00
850,521,,"Charge air conditioner",30.00
851,521,,"Install belts",40.00
852,517,,"Scan computer",27.50
853,517,,"Rotate tires",10.00
854,522,,"Install alternator",88.00
855,522,,"Install starter",49.50
856,522,,"Contract #835-041460",
857,524,,"Labor on drum and brakes",100.00
858,525,,"Towing",45.00
859,525,,"Install belt tensioner",55.00
860,526,,"Labor on spark plugs and transmission filter kit",82.50
861,527,,,
862,527,,,
863,528,,"Change oil and battery",16.00
864,529,,"Change own oil",16.00
865,530,,"Change own oil",16.00
866,531,,"Change own oil",10.00
867,532,,,
868,532,,,
869,533,,,
870,533,,,
871,533,,,
872,533,,,
873,533,,,
874,533,,,
875,533,,,
876,533,,,
877,534,,,
878,534,,,
879,535,,,
880,535,,,
881,536,,,
882,536,,,
883,536,,,
884,536,,,
885,532,,,
886,533,,,
887,534,,,
888,535,,,
889,536,,,
890,537,,"Install heater hose and clamps",27.50
891,538,,"Install rear brakes",82.50
892,538,,,
893,539,,"Labor on tune up",30.00
894,539,,"Labor on brakes and rotors",82.50
895,540,,"Install driver side window motor",82.50
896,541,,"Evacuate and recharge a/c system",25.00
897,542,,,0.00
898,542,,,
899,542,,,
900,542,,,
901,543,,"Labor on timing belt",180.00
902,543,,"Labor on p/s pitman seal ket",82.50
903,543,,"Towing",25.00
904,544,,"Install oil switch",10.00
905,545,,"Mount and balance 4 tires",48.00
906,546,,"Install own fuel pump",60.00
907,547,,"Labor on spark plugs and air filter",75.00
908,548,,"Labor on belt and transmission filter kit",82.50
909,549,,"Install own ball joints",200.00
910,550,,"Labor on Head gaskets",450.00
911,551,,"Install front brakes, rear brakes and rear rotors",137.50
912,551,,"Labor on tune up",75.00
913,552,,"Towing",45.00
914,552,,"Install alternator",55.00
915,552,,"Charge battery",5.00
916,553,,,
917,553,,,
918,554,,"Labor on axle seal",82.50
919,555,,"Lube",6.00
920,556,,"Install own front brakes and rotors",71.50
921,557,,"Labor on fitting",55.00
922,558,,"Install heater core and temp sensor",30.00
923,558,,,
924,559,,"Repair transmission lines",55.00
925,559,,"Install valve cover gaskets",55.00
926,559,,"Install power steering hose",55.00
927,559,,"Install upper control arm kit",82.50
928,559,,,
929,560,,"Install fuel filter",20.00
930,561,,"Install belt",20.00
931,562,,"Lube",6.00
932,562,,"Install wheel bearings and front brakes",82.50
933,562,,"Resurface rotors",25.00
934,562,,,
935,563,,"Towing",70.00
936,564,,"Lube",6.00
937,565,,"Install water pump",104.50
938,566,,"Wheel alignment",39.95
939,566,,"Repair right door handle",55.00
940,567,,"Install own alternator",55.00
941,567,,"Charge air conditioner",25.00
942,568,,"Install oxygen sensor",82.50
943,569,,"Install switch",55.00
944,570,,"Install window motor",71.50
945,570,,"Install wiper motor",55.00
946,570,,"Lube",6.00
947,571,,"Install bulbs",10.00
948,570,,,
949,572,,"Install license plates and repair tire",20.00
950,573,,"Diagnostic fee and install fuel injector",110.00
951,574,,"Labor on spark plugs",40.00
952,575,,"Install alternator",55.00
953,576,,"Install own used engine",375.00
954,577,,"Install filters",27.50
955,578,,,0.00
956,579,,,0.00
957,580,,"Labor on brakes and rotors",82.50
958,581,,"Install belt",27.50
959,581,,"Labor on spark plugs",71.50
960,582,,"Repair hole in tire",10.00
