id,customer_id,make,model,year,engine,drive_type,fleet_no
510,325,"Ford","Aerostar","1994",,,
511,357,"Ford","Explorer","1996",,,
512,262,"Ford","F150","1994",,,
513,358,"Chevy","1500 Truck","1998",,,
514,204,,,,,,
515,232,"Li ncoln","Mark VIII","1998",,,
516,359,"Cadillac",,"1996",,,
517,360,"Ford","Tempo","1994",,,
518,361,,"GMC","2000",,,
519,4752,".",".",".",".",".",
520,25,,,,,,
521,363,"Olds","Cutlass Ciera","1990",,,
522,364,"Olds","88","1992",,,
523,61,,,,,,
524,365,"Pontiac","Bonneville","1998",,,
525,235,,,,,,
526,338,,,,,,
527,366,"Chevy","Camero","1978",,,
528,146,,,,,,
529,325,,,,,,
530,351,,,,,,
531,62,,,,,,
532,367,"Ford","Taurus","1991",,,
533,368,"Dodge","Stratus","1995",,,
534,161,"Ford","Ranger",,,,
535,201,,,,,,
536,67,,,,,,
537,369,,,"2001",,,
538,53,"Mercury","Grand Marquis","1994",,,
539,249,,,,,,
540,371,"Mazda",,,,,
541,372,"Dodge","Caravan","1999",,,
542,296,,,,,,
543,373,"Olds","Cutlass","1984",,,
544,373,,,,,,
545,374,"Ford","Escort","2002",,,
546,314,,,,,,
547,220,"Ford","F350","2002",,,
548,375,"Ford","Taurus","1999",,,
549,376,"Dodge","Caravan","2000",,,
550,117,,,,,,
551,377,"Chevy",,"1962",,,
552,134,,,,,,
553,378,"Dodge","Dakota","1997","3.9",,
554,379,"Dodge","Intrepid","1996",,,
555,380,"Pontiac","Grand Prix","1997",,,
556,381,"Chevy","Malibu","2003",,,
557,82,,,,,,
558,382,"Mercury","Grand Marquis","1993",,,
559,1665,"Ford","Mustang","1995",,,
560,384,"Montana","Transport","1998",,,
561,183,,,,,,
562,385,"GMC","Van","1998",,,
563,124,,,,,,
564,158,,,,,,
565,386,,"Jimmy","1995",,,
566,387,"Dodge","Ram",,,,
567,153,,,,,,
568,388,"Ford","Taurus",,,,
569,389,"GMC","Van","1995",,,
570,390,"Lincoln","Mark VIII","1994",,,
571,92,,,,,,
572,92,,,,,,
573,92,,,,,,
574,2613,"Dodge","Stratus","2000",,,
575,224,"Tow Truck",,,,,
576,392,"Mercury","Grand Marquis","1989",,,
577,303,"Plymouth","Breeze","1999",,,
578,393,"Dodge","Ram",,,,
579,394,"Pontiac","Grand Prix","1993",,,
580,199,"Jeep","Grand Cherokee","1995",,,
581,23,"Buick","Century","2003",,,
582,23,,,,,,
583,216,"Buick","LaSabre","2003",,,
584,336,"Dodge"," Ram 50","1987",,,
585,373,"Oldsmobile","Roadmaster","1992",,,
586,396,"Pontiac","Grand Am","1999",,,
587,354,,,,,,
588,22,"Tractor",,,,,
589,303,"Dodge","Intrepid","1999",,,
590,397,"Chevy","Lumina","1997",,,
591,216,,,,,,
592,398,"Chevy","1500 Truck","1997",,,
593,300,"Saturn",,"1998",,,
594,399,"Chevy","Silverado","2000",,,
595,400,"Chevy","Astro Van","2002",,,
596,401,"Ford","Tempo","1994",,,
597,402,"Pontiac","Transport Van","1995",,,
598,235,,,,,,
599,189,"Pontiac","Firebird",,,,
600,403,"Chevy","Blazer","1997",,,
601,404,"Olds","Cutlass Supreme","1986",,,
602,405,"Chevy","Blazer","1997",,,
603,406,"Chevy","Truck",,,,
604,407,"Toyota","Camry","1992",,,
605,82,,,,,,
606,316,,,,,,
607,96,"Chevy","Cierra","1998",,,
608,233,,,,,,
609,409,"Chevy","Silverado","2002",,,
610,410,"Pontiac","Aztec","2002",,,
611,340,,,,,,
612,131,"Dodge","Caravan","1999",,,
613,411,"Ford","F150","1979","5.8",,
614,325,,,,,,
615,303,"Olds","Ciera","1994",,,
616,412,"Ford","Escort","1999",,,
617,93,,,,,,
618,183,,,,,,
619,92,,,,,,
620,147,"Pontiac","Grand Am","1994",,,
621,60,,,,,,
622,413,"Toyota",,"1987",,,
623,265,,,,,,
624,414,"Chevy","1500","1992",,,
625,414,,,,,,
626,305,,,,,,
627,216,,,,,,
628,183,,,,,,
629,415,"Buick","Century","1997",,,
630,224,"Ford","Ranger",,,,
631,395,,,,,,
